Ingredient	Gene_ID
Alibiflorin	7124
Alibiflorin	3569
CALYCOSIN7-O-beta-D-GLUCOSIDE	3558
CALYCOSIN7-O-beta-D-GLUCOSIDE	7124
Canadine	55775
Canadine	2152
Canadine	1565
Canadine	196
Canadine	1557
Canadine	43
Canadine	1576
Canadine	6622
Canadine	7468
Canadine	9970
Canadine	2101
Canadine	1544
Canadine	1559
Canadine	367
Chrysoobtusin	2053
coptisine	7124
coptisine	3569
coptisine	3553
coptisine	4790
coptisine	207
coptisine	213
coptisine	6774
coptisine	595
coptisine	23771
coptisine	7040
coptisine	4843
coptisine	836
coptisine	1565
coptisine	4846
coptisine	114548
Ligustilide	7124
Ligustilide	4790
Ligustilide	3553
Ligustilide	3569
Ligustilide	351
Ligustilide	7099
Ligustilide	1544
Ligustilide	8989
Ligustilide	4803
Ligustilide	759
Ligustilide	9365
Ligustilide	627
Ligustilide	100271694
Ligustilide	23621
Ligustilide	581
Ligustilide	114548
Ligustilide	4035
Ligustilide	847
Ligustilide	3416
Obtusin	2053
Paeoniflorin	7124
Paeoniflorin	3569
Paeoniflorin	4790
Paeoniflorin	3553
Paeoniflorin	7040
Paeoniflorin	836
Paeoniflorin	6774
Paeoniflorin	1559
Paeoniflorin	940
Paeoniflorin	1576
Paeoniflorin	114548
Paeoniflorin	5743
Paeoniflorin	7097
Paeoniflorin	1544
Paeoniflorin	759
Paeoniflorin	5152
Paeoniflorin	3725
Paeoniflorin	5742
Paeoniflorin	8654
Paeoniflorin	920
Paeoniflorin	2920
Paeoniflorin	627
Paeoniflorin	2597
Paeoniflorin	3717
Paeoniflorin	3576
Paeoniflorin	5138
Paeoniflorin	4292
Paeoniflorin	4436
Paeoniflorin	5970
Paeoniflorin	54738
Paeoniflorin	207
Paeoniflorin	958
Paeoniflorin	761
Paeoniflorin	1956
Paeoniflorin	2919
Paeoniflorin	10846
Paeoniflorin	1652
Paeoniflorin	100506658
Paeoniflorin	1565
Paeoniflorin	5594
Palmatine	55775
Palmatine	5893
Palmatine	2033
Palmatine	43
Palmatine	7124
Palmatine	3569
Palmatine	3553
Palmatine	3630
Palmatine	207
Palmatine	836
Palmatine	1565
Palmatine	5743
Palmatine	1544
Palmatine	847
Palmatine	208
Palmatine	10682
Palmatine	367
Palmatine	340451
Palmatine	4318
Palmatine	1576
Palmatine	3725
Palmatine	759
Palmatine	213
Palmatine	5595
Palmatine	114548
Palmatine	1543
Palmatine	590
